# dates,infections,hospitalizations,deaths,mean_r_t
2020-06-23,3188.80382830748,290.0,2.7241846678255985,1.268870969095864
2020-06-24,3339.5360321605563,305.0,2.763958533776753,1.2651862623654642
2020-06-25,3492.9692847996716,321.0,2.807464325154267,1.2603950154725256
2020-06-26,3647.534235886378,338.0,2.8546223262603414,1.254201065273724
2020-06-27,3801.1466474691524,355.0,2.905269220737361,1.2462686172583426
2020-06-28,3951.159995269008,373.0,2.959257381611356,1.2362460816204994
2020-06-29,4094.4254668264857,393.0,3.0164578580382493,1.223811454554012
2020-06-30,4227.490717300666,413.0,3.076761225301548,1.2087422086146216
2020-07-01,4346.9743584805465,434.0,3.140070324918244,1.19100351799096
2020-07-02,4450.060111853514,456.0,3.206298727672253,1.170833779586789
2020-07-03,4534.992749550191,480.0,3.2753670706510167,1.148791926512092
2020-07-04,4601.39933175821,504.0,3.3471982854041262,1.125729745846244
2020-07-05,4650.275111128411,530.0,3.4217169836451036,1.1026753339689752
2020-07-06,4683.6247902460145,556.0,3.498846577805912,1.0806553587163028
2020-07-07,4703.922796464452,584.0,3.5927813096337964,1.0605177091164213
2020-07-08,4713.631136672845,613.0,3.7015866903139645,1.042815932933804
2020-07-09,4714.926578484996,643.0,3.8237036497820958,1.027782715013162
2020-07-10,4709.629192863341,673.0,3.9578557085803974,1.0153781338629806
2020-07-11,4699.231144849177,705.0,4.102972529458395,1.0053757128062633
2020-07-12,4684.937827039024,737.0,4.258108550654344,0.9974507798741179
2020-07-13,4667.6961607155345,768.0,4.422372731574385,0.991250228738707
2020-07-14,4648.2246806559515,800.0,4.59486018368157,0.9864376528475934
2020-07-15,4627.056739959666,831.0,4.776224318043803,0.9827169206267632
2020-07-16,4604.58929469449,861.0,4.968556411694256,0.9798405352308065
2020-07-17,4581.122735194482,889.0,5.170437136381185,0.9776089008095753
2020-07-18,4556.885700166727,915.0,5.380096349265001,0.9758650566229894
2020-07-19,4532.04962900667,939.0,5.595552948369232,0.9744877777369721
2020-07-20,4506.740456736687,960.0,5.8146222653240915,0.9733846526696608
2020-07-21,4481.0504821256245,979.0,6.034963635029533,0.9724859003448992
2020-07-22,4455.048930311596,994.0,6.254158542048657,0.9717391923513146
2020-07-23,4428.789157204311,1006.0,6.469808384188136,0.9711054868574959
2020-07-24,4402.312568776874,1016.0,6.679634269599116,0.970555763564943
2020-07-25,4375.6509431937775,1022.0,6.881595417482505,0.9700685104873235
2020-07-26,4348.828580150103,1027.0,7.073982356356855,0.9696278137071546
2020-07-27,4321.864504946826,1029.0,7.25537715271834,0.9692219183970036
2020-07-28,4294.774246225692,1030.0,7.424676137805456,0.9688421517472596
2020-07-29,4267.570883507858,1029.0,7.581097847311087,0.9684821204653551
2020-07-30,4240.265551671686,1027.0,7.7241795386273076,0.9681371148426797
2020-07-31,4212.867784227266,1024.0,7.853764377158937,0.9678036673119559
2020-08-01,4185.385900173038,1020.0,7.96997928986075,0.9674792260462877
2020-08-02,4157.82739227776,1016.0,8.073203642917406,0.9671619139401613
2020-08-03,4130.199202101949,1011.0,8.164027887059097,0.9668503508019856
2020-08-04,4102.507853818787,1006.0,8.24320178542015,0.9665435222653699
2020-08-05,4074.7595123311935,1001.0,8.311575529909177,0.9662406831932298
2020-08-06,4046.960038242501,996.0,8.369406015238273,0.9659412865295751
2020-08-07,4019.1150591685064,991.0,8.417562621844674,0.9656449309126008
2020-08-08,3991.230035033029,985.0,8.456866364996221,0.9653513221098045
2020-08-09,3963.3102961972327,979.0,8.488067643662728,0.9650602446310107
2020-08-10,3935.3610570364744,974.0,8.511836627761124,0.964771540834691
2020-08-11,3907.387421686612,968.0,8.528763465750973,0.9644850955514119
2020-08-12,3879.3943935227,962.0,8.539364469652694,0.9642008247693609
2020-08-13,3851.386887781662,956.0,8.544092352539723,0.9639186673098745
2020-08-14,3823.369741278678,950.0,8.543273904388132,0.9636385787030713
2020-08-15,3795.3536790345793,944.0,8.537114657241291,0.9633620418575091
2020-08-16,3767.3373449722585,938.0,8.525945156148993,0.9630875190844247
2020-08-17,3739.325638128347,932.0,8.510081924001001,0.9628149930175515
2020-08-18,3711.3233822562797,926.0,8.489836005602873,0.9625444513844371
2020-08-19,3683.3356263780515,920.0,8.465518647619202,0.962275885232311
2020-08-20,3655.3673681116616,914.0,8.437444000375795,0.9620092879598721
2020-08-21,3627.4224479971826,908.0,8.405929159128405,0.9617446545844673
2020-08-22,3599.5047549799597,902.0,8.371291973801792,0.9614819812184152
2020-08-23,3571.6184622612373,896.0,8.333847446360293,0.961221264764474
2020-08-24,3547.7023524414058,890.0,8.293903633164529,0.9620307294690704
2020-08-25,3523.7684580612645,884.0,8.25175767844571,0.9628427474746122
2020-08-26,3500.0100757411988,878.0,8.207692320971162,0.9636572467899245
2020-08-27,3476.619280255539,871.0,8.161972901468,0.9644744431053731
2020-08-28,3453.9857636657116,865.0,8.11484483203542,0.9652947637727867
